HarmonizeID,Harmonize,harmonize_url
1000001,Pork,https://i.imgur.com/8DpPPKS.jpg
1000002,Rich Fish,https://i.imgur.com/6b7wzhE.jpg
1000003,Shellfish,https://i.imgur.com/MAU7m4O.jpg
1000004,Beef,https://i.imgur.com/iu8G8AX.jpg
1000005,Barbecue,https://i.imgur.com/RN7CMSC.jpg
1000006,Codfish,https://i.imgur.com/YddkGVZ.jpg
1000007,Pasta,https://i.imgur.com/pV2oeyH.jpg
1000008,Pizza,https://i.imgur.com/YhBLlh3.jpg
1000009,Cheese,https://i.imgur.com/JqRaGi3.jpg
1000010,Lamb,https://i.imgur.com/6KsLYqv.jpg
1000011,Poultry,https://i.imgur.com/hN2xbrx.jpg
1000012,Game Meat,https://i.imgur.com/JB5GewS.jpg
1000013,Veal,https://i.imgur.com/VaZt9sp.jpg
1000014,Vegetarian,https://i.imgur.com/XjVFTc9.jpg
1000015,Appetizer,https://i.imgur.com/89YBe8q.jpg
1000016,Snack,https://i.imgur.com/SvE2Dlk.jpg
1000017,Maturated Cheese,https://i.imgur.com/QjmO1P7.jpg
1000018,Hard Cheese,https://i.imgur.com/rSMBCCG.jpg
1000019,Spicy Food,https://i.imgur.com/CoYUZHs.jpg
1000020,Sweet Dessert,https://i.imgur.com/NPAIkrs.jpg
1000021,Mushrooms,https://i.imgur.com/oLl0LPs.jpg
1000022,Lean Fish,https://i.imgur.com/77KRQs1.jpg
1000023,Soft Cheese,https://i.imgur.com/j11GgC5.jpg
1000024,Grilled,https://i.imgur.com/wdwt93M.jpg
1000025,Soufflé,https://i.imgur.com/S6P6nxQ.jpg
1000026,Seafood,https://i.imgur.com/hvrfdQr.jpg
1000027,Risotto,https://i.imgur.com/6vI8W84.jpg
1000028,Salad,https://i.imgur.com/TeyxC6a.jpg
1000029,Fruit,https://i.imgur.com/0YhMgOr.jpg
1000030,Fish,https://i.imgur.com/s8Gi66r.jpg
1000031,Chicken,https://i.imgur.com/BkWLfqy.jpg
1000032,Ham,https://i.imgur.com/GkxAToT.jpg
1000033,Blue Cheese,https://i.imgur.com/YQkTskU.jpg
1000034,Cake,https://i.imgur.com/bM1SK50.jpg
1000035,Chocolate,https://i.imgur.com/XUSfEOs.jpg
1000036,Cured Meat,https://i.imgur.com/3ilwWLM.jpg
1000037,Tomato Dishes,https://i.imgur.com/zuqhBQj.jpg
1000038,Light Stews,https://i.imgur.com/RvxwbPW.jpg
1000039,Aperitif,https://i.imgur.com/ljbD8I1.jpg
1000040,Fruit Dessert,https://i.imgur.com/WOy7zy0.jpg
1000041,Goat Cheese,https://i.imgur.com/VJxhdtS.jpg
1000042,Cream,https://i.imgur.com/ny2JNgE.jpg
1000044,Dessert,https://i.imgur.com/OxBe4dL.jpg
1000045,French Fries,https://i.imgur.com/LllUwal.jpg
1000046,Duck,https://i.imgur.com/kjkJY0J.jpg
